player_name,player_number,player_team,game_date,game_time,game_opponent,game_location,game_type,stat_hits,stat_rbis,stat_at_bats,stat_singles,stat_doubles,stat_triples,stat_homeruns,stat_sacrifice,stat_strikeouts
JACOB CARSON,69,SEA,8/23/2023,1200,BOS,home,regular,1,1,2,1,0,0,0,1,0
JOHNNY CHANEY,25,BOU,10/1/2023,1300,NY,away,regular,1,1,4,1,0,0,0,0,3
BILL GRAVES,11,OAK,7/19/2023,1500,BOD,home,regular,1,1,3,1,0,0,0,1,1
THOMAS WALTERS,12,SF,10/7/2023,1900,SLB,away,postseason,1,1,2,1,0,0,0,1,0
RODRIGO MIDDLETON,18,STL,4/18/2023,1500,NYH,away,regular,1,1,4,1,0,0,0,1,2
THOMAS HOLDER,76,CHO,6/9/2023,1300,CLE,home,regular,3,2,4,1,1,0,1,0,1
LARRY OWENS,69,MTL,9/13/2023,1900,MIA,away,regular,2,2,2,1,1,0,0,0,0
BILLY WELCH,40,PHA,8/2/2023,1500,CHI,home,regular,1,1,1,1,0,0,0,0,0
RODRIGO BUCHANAN,47,WSH,8/25/2023,1900,TEX,away,regular,3,3,5,1,0,0,2,0,2
MARTIN DOMINGUEZ,92,FLA,7/3/2023,1200,SEA,home,regular,2,2,3,1,0,1,0,0,1
MARTIN BIRD,74,NYG,9/20/2023,1600,BOU,home,regular,3,3,5,2,0,0,1,0,2
BARRY POOLE,19,SLB,4/4/2023,1300,DET,away,regular,2,1,4,2,0,0,0,0,2
BILL RUBIO,33,FLA,5/19/2023,1500,CHI,home,regular,1,1,2,0,1,0,0,0,1
BOB FINLEY,93,PHB,7/10/2023,1900,PHB,home,regular,1,1,1,1,0,0,0,0,0
ADAM MORROW,57,PHB,4/30/2023,1400,BKN,home,regular,2,2,4,2,0,0,0,0,2
BILLY CHARLES,66,CHC,3/31/2023,1600,CWS,away,regular,1,1,5,0,0,1,0,1,3
JAMES LYONS,75,TEX,8/29/2023,1800,CLE,away,regular,1,1,1,1,0,0,0,0,0
WILL CARNEY,40,OAK,5/23/2023,1600,TB,away,regular,3,1,3,1,0,0,2,0,0
JAMES MCLAUGHLIN,12,OAK,4/9/2023,1200,BSN,away,regular,2,2,6,1,1,0,0,1,3
BARRY KANE,7,MIA,5/7/2023,1700,KC,home,regular,3,3,4,1,0,0,2,0,1
TJ OCONNOR,76,CHC,7/12/2023,1700,FLA,away,regular,2,2,5,1,0,0,1,0,3
LARRY GRIFFITH,19,BAL,7/6/2023,1700,SLC,away,regular,2,1,3,2,0,0,0,0,1
BARRY BUSH,61,SEA,10/3/2023,1300,TB,home,postseason,1,1,2,1,0,0,0,0,1
TJ FLEMING,34,BKN,5/23/2023,1900,CHC,away,regular,1,1,1,1,0,0,0,0,0
BARRY WOOD,97,OAK,8/24/2023,1800,CHC,away,regular,3,1,4,1,2,0,0,1,0
TJ LIVINGSTON,62,CHC,6/1/2023,2000,TEX,home,regular,1,1,5,1,0,0,0,1,3
WALKER KOCH,89,TB,10/29/2023,1500,SLB,home,postseason,1,1,2,1,0,0,0,0,1
JAMES BREWER,86,PHB,7/24/2023,1900,KC,home,regular,1,1,4,1,0,0,0,1,2
BILL JONES,92,CHI,6/8/2023,1600,CIN,away,regular,1,1,4,1,0,0,0,0,3
JAMES BENTON,35,SF,6/22/2023,2000,MTL,home,regular,1,1,2,1,0,0,0,1,0
MARTIN CAMACHO,14,COL,6/7/2023,2000,CHO,away,regular,1,1,2,1,0,0,0,0,1
BOB HOUSTON,77,SD,9/16/2023,1400,BOU,home,regular,1,1,4,1,0,0,0,0,3
JACKSON ZAVALA,30,NY,5/29/2023,1700,LAD,home,regular,2,1,4,1,0,0,1,0,2
JOHNNY MACDONALD,39,NY,5/27/2023,1200,TOR,home,regular,3,1,4,1,1,0,1,1,0
WILLIAM ROMERO,51,BOR,7/18/2023,1600,CAL,away,regular,1,1,2,0,0,1,0,0,1
BILL BERGER,61,OAK,7/2/2023,1800,LAA,home,regular,1,1,4,0,1,0,0,1,2
BOB BOOTH,18,TOR,8/1/2023,1400,NYY,away,regular,2,2,4,2,0,0,0,0,2
ADAM NOVAK,93,STL,7/13/2023,1300,CWS,away,regular,1,1,5,1,0,0,0,1,3
BARRY BARR,41,CHO,9/25/2023,1400,PHA,away,regular,2,1,5,1,0,0,1,0,3
WALKER GATES,62,WSH,10/2/2023,1700,NYH,home,postseason,1,1,1,1,0,0,0,0,0
BILLY HUFF,1,CIN,7/27/2023,1200,PHA,away,regular,1,1,1,1,0,0,0,0,0
WALKER BERNARD,19,FLA,6/8/2023,1500,BKN,home,regular,1,1,3,1,0,0,0,0,2
JAKE KAUFMAN,95,NY,6/23/2023,1200,SD,home,regular,1,1,4,1,0,0,0,0,3
LARRY HOUSTON,30,NYM,7/10/2023,2000,COL,home,regular,1,1,3,1,0,0,0,1,1
GARY PRATT,97,SLC,7/3/2023,1600,PHP,home,regular,2,2,2,1,1,0,0,0,0
THOMAS ROJAS,84,TOR,7/31/2023,2000,PHI,away,regular,2,2,5,1,0,1,0,0,3
BOB RIVERA,51,BOU,8/17/2023,1800,ATL,away,regular,1,1,3,1,0,0,0,0,2
JOHNNY FLETCHER,76,BOD,10/30/2023,1400,BOA,home,postseason,1,1,3,1,0,0,0,1,1
MARTIN CUNNINGHAM,5,BKN,6/26/2023,1600,BOR,home,regular,1,1,2,1,0,0,0,0,1
RODRIGO MOON,83,TB,9/21/2023,1900,SD,home,regular,1,1,5,1,0,0,0,1,3
EVAN PETERSON,71,FLA,7/30/2023,1800,BKN,away,regular,0,0,3,0,0,0,0,0,3
BILL KAISER,41,NYM,8/12/2023,1400,LAD,home,regular,2,1,4,2,0,0,0,0,2
BILLY MCDOWELL,95,NYH,10/4/2023,1500,MIL,away,postseason,2,2,3,1,0,0,1,0,1
WILLIAM WILSON,5,AZ,6/27/2023,2000,NY,away,regular,1,1,4,1,0,0,0,0,3
